At what type of location do you live? ,Are you a 10MS Paid User or not?,Are you the student / the parent?,Gender,Location (District),Location (Division),Which grade is the student in?,What is the highest level of education of the students' parents?,At what type of school does the student pursue full-time education?,How does the student (or their family) fund the student's education? ,What was the student's marks in their most recent academic year?,Does the student have his/her own mobile phone or uses a shared mobile phone?,"On a scale of 1-5 with 1 being Strongly Disagree to 5 Strongly Agree, has the student has seen an improvement in their learning since they started using 10MS.",How likely is the student to recommend 10MS to a friend? (10 (very likely) to 1 (very unlikely)),"What is the monthly  income of the student's household? (Please ask your parent, in case you are a student)","What is the amount of monthly school fees paid for the student? (in BDT)

(raw data)","What is the amount of monthly school fees paid for the student? (in BDT)

(cleaned data)","What is the cost of after-school tuition class for the student, per subject per month?

(raw data)","What is the cost of after-school tuition class for the student, per subject per month?

(cleaned data)",Why did you choose to use 10MS? (Can select more than one),,,,,,"If any, which of the following improvements has the student witnessed due to using 10MS? (can choose multiple ones)",,,,,,What would you like to see at 10MS in future?,,,,,
Divisional City/City Corporation,Yes,Student ,Male,Khulna,Khulna,Grade 11,Up to Masters,"Public school, government run",Self-pay/Sourced from Family,80 to 100 ,Shared mobile phone outside of the family,5,10,"< BDT 12,000",কোনো টাকা খরচ হয় না ,0,", ICT 500 tk",500,Content quality,Quality of teachers,"Convenience, no need to travel",Travel restriction to in-person centers,Cheaper cost of access,Others,The student feels more motivated in their studies.,The student feels more effective/efficient in their studies.,The student has seen an increase in their grades.,The student has gained access to extracurricular scholar opportunities.,,,More Subjects,More options for student tutoring/support,More classes for low connectivity locations (lower data usage),Lower cost,,
District City,No,Student ,Male,Cumilla,Chittagong,Grade 11,Up to University (Bachelor's),"Public school, government run",Self-pay/Sourced from Family,70 to 80,Own mobile phone,3,5,"BDT 24,000 - 45,000",Vai bon nei,0,"10,000","10,000",Quality of teachers,Online community of learners,Cheaper cost of access,,,,The student feels more motivated in their studies.,The student feels more effective/efficient in their studies.,,,,,More Subjects,More options for student tutoring/support,More classes for low connectivity locations (lower data usage),,,
Village/Sub-district,No,Student ,Male,Barguna,Barisal,Grade 11,Up to Masters,"Public school, government run",Self-pay/Sourced from Family,80 to 100 ,Own mobile phone,5,7,"BDT 16,000 - 24,000",Govt school+ college. So cost nai. ,0,Physics=800; chemistry=800; math=500; biology=500,"2,600",Content quality,Travel restriction to in-person centers,Cheaper cost of access,,,,The student feels more motivated in their studies.,The student feels more effective/efficient in their studies.,,,,,More Subjects,Lower cost,,,,
District City,Yes,Student ,Female,Lakshmipur,Chittagong,Grade 07,Up to Masters,Private school,Self-pay/Sourced from Family,80 to 100 ,Shared mobile phone within the family,5,10,"BDT 16,000 - 24,000",Y,0,J,0,Content quality,Quality of teachers,"Convenience, no need to travel",Travel restriction to in-person centers,Safety or health related reasons,Online community of learners,The student feels more motivated in their studies.,The student feels more effective/efficient in their studies.,The student has seen an increase in their grades.,The student has gained access to extracurricular scholar opportunities.,,,More Subjects,More options for student tutoring/support,Lower cost,,,
Divisional City/City Corporation,No,Student ,Male,Dhaka,Dhaka,Grade 12,Up to Masters,"Public school, government run",Self-pay/Sourced from Family,70 to 80,Own mobile phone,4,5,"BDT 16,000 - 24,000",জানিনা,0,"1,000","1,000",Content quality,Quality of teachers,"Convenience, no need to travel",Online community of learners,Cheaper cost of access,Others,The student feels more motivated in their studies.,The student feels more effective/efficient in their studies.,The student has seen an increase in their grades.,The student has gained access to extracurricular scholar opportunities.,,,More Subjects,More options for student tutoring/support,Strengthen on-line student community,More classes for low connectivity locations (lower data usage),Lower cost,
District City,Yes,Student ,Male,Cox's Bazar,Chittagong,Grade 11,Up to Masters,Private school,Self-pay/Sourced from Family,70 to 80,Own mobile phone,4,10,"BDT 24,000 - 45,000",0,0,"9,000","9,000",Content quality,Quality of teachers,"Convenience, no need to travel",Online community of learners,Cheaper cost of access,,The student feels more motivated in their studies.,The student feels more effective/efficient in their studies.,The student has seen an increase in their grades.,,,,More Subjects,More options for student tutoring/support,Strengthen on-line student community,More classes for low connectivity locations (lower data usage),Lower cost,
Divisional City/City Corporation,No,Student ,Female,Dhaka,Dhaka,Grade 11,Up to Grade 12,"Public school, government run",Self-pay/Sourced from Family,80 to 100 ,Shared mobile phone within the family,4,10,"BDT 16,000 - 24,000",Nei,0,"2,000","2,000",Quality of teachers,,,,,,The student feels more motivated in their studies.,,,,,,Lower cost,,,,,
District City,No,Student ,Do not want to disclose,Dhaka,Dhaka,Grade 10,Up to Grade 12,"Public school, government run",Self-pay/Sourced from Family,80 to 100 ,Shared mobile phone within the family,5,0,"< BDT 12,000",আমার ভাই বোন নেই,0,"3,000","3,000",Quality of teachers,,,,,,The student feels more motivated in their studies.,,,,,,Lower cost,,,,,
Divisional City/City Corporation,No,Student ,Female,Dhaka,Dhaka,Grade 06,Up to University (Bachelor's),"Public school, government run",Self-pay/Sourced from Family,80 to 100 ,Shared mobile phone within the family,4,8,"BDT 24,000 - 45,000",Bhaibon nei,0,"3,000","3,000",Others,,,,,,The student feels more motivated in their studies.,,,,,,More Subjects,,,,,
Village/Sub-district,No,Student ,Male,Jhenaidah,Khulna,Grade 08,Up to Grade 12,Private school,Self-pay/Sourced from Family,80 to 100 ,Shared mobile phone within the family,4,10,"< BDT 12,000",0 Taka,0,800 Taka,800,Quality of teachers,,,,,,The student feels more motivated in their studies.,,,,,,More Subjects,,,,,
Divisional City/City Corporation,No,Student ,Female,Chittagong,Chittagong,Grade 11,Up to University (Bachelor's),Private school,Self-pay/Sourced from Family,70 to 80,Shared mobile phone within the family,3,10,"BDT 16,000 - 24,000",0,0,"13,500","13,500",Content quality,Quality of teachers,,,,,The student feels more effective/efficient in their studies.,The student has gained access to extracurricular scholar opportunities.,,,,,More Subjects,More options for student tutoring/support,Strengthen on-line student community,More classes for low connectivity locations (lower data usage),Lower cost,
District City,Yes,Student ,Female,Chittagong,Chittagong,Grade 12,Up to University (Bachelor's),"Public school, government run",Self-pay/Sourced from Family,70 to 80,Shared mobile phone within the family,4,10,"BDT 24,000 - 45,000",অনেক টাকা,0,don't know exactly,0,Content quality,Quality of teachers,"Convenience, no need to travel",Travel restriction to in-person centers,Cheaper cost of access,Others,The student feels more motivated in their studies.,The student feels more effective/efficient in their studies.,The student has seen an increase in their grades.,The student has gained access to extracurricular scholar opportunities.,,,More Subjects,More options for student tutoring/support,Strengthen on-line student community,Lower cost,,
Divisional City/City Corporation,Yes,Student ,Female,Rajshahi,Rajshahi,Grade 11,Up to University (Bachelor's),"Public school, government run",Loan,80 to 100 ,Own mobile phone,3,6,"BDT 12,000 - 16,000","সরকারি কলেজে তেমন খরচ নেই but প্রাইভেটে অনেক খরচ,  ",0,"প্রতি মাসে ঠিক না, বছরে ৮০-৯০ হাজার। ( ফার্স্ট -সেকেন্ড ইয়ার)","7,500",Quality of teachers,,,,,,The student feels more motivated in their studies.,The student feels more effective/efficient in their studies.,,,,,Lower cost,,,,,
Village/Sub-district,Yes,Student ,Female,Cumilla,Chittagong,Grade 11,Upto Grade 10,Private school,Self-pay/Sourced from Family,70 to 80,Own mobile phone,5,10,"BDT 24,000 - 45,000",Nai ,0,"1,000","1,000",Quality of teachers,,,,,,The student feels more effective/efficient in their studies.,,,,,,More classes for low connectivity locations (lower data usage),,,,,
Divisional City/City Corporation,Yes,Student ,Male,Dhaka,Dhaka,Grade 11,Up to University (Bachelor's),Private school,Self-pay/Sourced from Family,80 to 100 ,Do not own or share a mobile,4,10,"BDT 24,000 - 45,000",unwilling to share,0,around 5000k,"5,000",Content quality,Quality of teachers,"Convenience, no need to travel",Travel restriction to in-person centers,Cheaper cost of access,,The student feels more effective/efficient in their studies.,The student has gained access to extracurricular scholar opportunities.,,,,,More Subjects,More options for student tutoring/support,,,,
Divisional City/City Corporation,No,Student ,Female,Dhaka,Dhaka,Grade 11,Up to University (Bachelor's),Private school,Self-pay/Sourced from Family,80 to 100 ,Shared mobile phone within the family,4,9,"< BDT 12,000",nai,0,"4,000","4,000",Content quality,Quality of teachers,"Convenience, no need to travel",Cheaper cost of access,,,The student feels more effective/efficient in their studies.,The student has gained access to extracurricular scholar opportunities.,,,,,More Subjects,More options for student tutoring/support,Strengthen on-line student community,Lower cost,,
Divisional City/City Corporation,Yes,Student ,Male,Dhaka,Dhaka,Grade 11,Up to Grade 12,Private school,Loan,80 to 100 ,Own mobile phone,3,10,"> BDT 45,000",NOPE,0,"4,000","4,000",Content quality,Quality of teachers,Others,,,,The student feels more effective/efficient in their studies.,The student has seen an increase in their grades.,The student has gained access to extracurricular scholar opportunities.,,,,More Subjects,More options for student tutoring/support,Strengthen on-line student community,More classes for low connectivity locations (lower data usage),Lower cost,
District City,Yes,Student ,Male,Chittagong,Chittagong,Grade 11,Up to Masters,Private school,Self-pay/Sourced from Family,80 to 100 ,Own mobile phone,5,7,"BDT 24,000 - 45,000",0tk,0,3000tk,"3,000",Quality of teachers,,,,,,The student feels more motivated in their studies.,The student feels more effective/efficient in their studies.,,,,,More Subjects,Strengthen on-line student community,,,,
Village/Sub-district,Yes,Student ,Male,Khulna,Khulna,Grade 08,Up to Masters,Private school,Self-pay/Sourced from Family,80 to 100 ,Shared mobile phone within the family,4,10,"BDT 24,000 - 45,000",খরচ হয় না।,0,১০০০/=,"1,000",Content quality,Quality of teachers,"Convenience, no need to travel",Others,,,The student feels more effective/efficient in their studies.,,,,,,More Subjects,More options for student tutoring/support,Strengthen on-line student community,More classes for low connectivity locations (lower data usage),Lower cost,
Village/Sub-district,No,Student ,Male,Rangpur,Rangpur,Grade 09,Upto Grade 10,"Public school, government run",Self-pay/Sourced from Family,60 to 70,Shared mobile phone within the family,5,10,"< BDT 12,000",সামান্য ,0,"1,000","1,000",Quality of teachers,"Convenience, no need to travel",Online community of learners,,,,The student feels more motivated in their studies.,The student feels more effective/efficient in their studies.,The student has gained access to extracurricular scholar opportunities.,,,,More Subjects,More options for student tutoring/support,Strengthen on-line student community,More classes for low connectivity locations (lower data usage),Lower cost,
Divisional City/City Corporation,Yes,Student ,Male,Barisal,Barisal,Grade 11,Up to University (Bachelor's),"Public school, government run",Self-pay/Sourced from Family,70 to 80,Own mobile phone,4,9,"> BDT 45,000",No idea,0,"Higher math - 2000,Chemistry - 1500, Physics -2000, Biology - 1500,Ict -1000, Bangla - 1000, English - 1000","10,000",Content quality,Quality of teachers,"Convenience, no need to travel",Online community of learners,,,The student feels more motivated in their studies.,The student feels more effective/efficient in their studies.,,,,,More Subjects,More options for student tutoring/support,Strengthen on-line student community,More classes for low connectivity locations (lower data usage),Lower cost,
Divisional City/City Corporation,No,Student ,Female,Jhalokati,Barisal,Grade 11,Up to Masters,"Public school, government run",Self-pay/Sourced from Family,80 to 100 ,Shared mobile phone within the family,2,5,"BDT 24,000 - 45,000",Don’t know.,0,"Bio-1000,math-1000,physics -2500,chem-2000,bangla-1000,eng-1000,ICT-1000","9,500",Others,,,,,,The student feels more effective/efficient in their studies.,,,,,,More options for student tutoring/support,Lower cost,,,,
Village/Sub-district,Yes,Student ,Male,Jessore,Khulna,Grade 11,Up to Grade 12,Private school,Other,80 to 100 ,Own mobile phone,5,10,"< BDT 12,000",Amar 3 bon.. bia hoa gasa...,0,2000 tk,"2,000",Quality of teachers,"Convenience, no need to travel",Travel restriction to in-person centers,,,,The student feels more motivated in their studies.,The student feels more effective/efficient in their studies.,The student has seen an increase in their grades.,The student has gained access to extracurricular scholar opportunities.,,,More Subjects,More options for student tutoring/support,Strengthen on-line student community,More classes for low connectivity locations (lower data usage),Lower cost,
District City,No,Student ,Female,Dhaka,Dhaka,Grade 06,Up to Grade 12,"Public school, government run",Grant (financial aid from school or govenrment),80 to 100 ,Shared mobile phone outside of the family,5,10,"< BDT 12,000",0,0,"2,000","2,000",Others,,,,,,The student feels more effective/efficient in their studies.,The student has seen an increase in their grades.,The student has gained access to extracurricular scholar opportunities.,,,,More Subjects,More options for student tutoring/support,Strengthen on-line student community,Lower cost,,
Divisional City/City Corporation,No,Student ,Female,Dhaka,Dhaka,Grade 06,Up to Masters,"Public school, government run",Self-pay/Sourced from Family,80 to 100 ,Shared mobile phone within the family,5,10,"BDT 12,000 - 16,000",0,0,"2,000","2,000",Content quality,Quality of teachers,Safety or health related reasons,Online community of learners,,,The student feels more effective/efficient in their studies.,The student has seen an increase in their grades.,The student has gained access to extracurricular scholar opportunities.,,,,More Subjects,More options for student tutoring/support,Strengthen on-line student community,More classes for low connectivity locations (lower data usage),,
Divisional City/City Corporation,Yes,Student ,Male,Dhaka,Dhaka,Grade 12,Upto Grade 10,"Public school, government run",Self-pay/Sourced from Family,Below 60,Own mobile phone,3,10,"BDT 12,000 - 16,000",নাই,0,"1,500","1,500",Content quality,Quality of teachers,"Convenience, no need to travel",Online community of learners,,,No improvement was seen,,,,,,More Subjects,More options for student tutoring/support,Strengthen on-line student community,Lower cost,,
Village/Sub-district,Yes,Student ,Male,Sylhet,Sylhet,Grade 11,Upto Grade 10,"Public school, government run",Self-pay/Sourced from Family,60 to 70,Shared mobile phone within the family,3,8,"BDT 12,000 - 16,000",No,0,No,0,Content quality,Quality of teachers,"Convenience, no need to travel",Online community of learners,Others,,The student feels more motivated in their studies.,The student feels more effective/efficient in their studies.,,,,,More Subjects,More options for student tutoring/support,Strengthen on-line student community,Lower cost,,
Village/Sub-district,Yes,Student ,Male,Kushtia,Khulna,Grade 10,Up to Masters,Private school,Self-pay/Sourced from Family,80 to 100 ,Shared mobile phone within the family,3,3,"BDT 24,000 - 45,000",বলে,0,it can't be told,0,Others,,,,,,The student has gained access to extracurricular scholar opportunities.,,,,,,More classes for low connectivity locations (lower data usage),,,,,
Village/Sub-district,No,Student ,Male,Mymensingh,Mymensingh,Grade 11,Up to Masters,"Public school, government run",Self-pay/Sourced from Family,70 to 80,Shared mobile phone within the family,4,9,"BDT 12,000 - 16,000",শূন্য ,0,যতটুকু পারছি অনলাইনে ফ্রি ক্লাসগুলো করছি,0,Content quality,Quality of teachers,"Convenience, no need to travel",Cheaper cost of access,,,The student feels more motivated in their studies.,The student feels more effective/efficient in their studies.,The student has gained access to extracurricular scholar opportunities.,,,,More classes for low connectivity locations (lower data usage),Lower cost,,,,
Village/Sub-district,No,Student ,Male,Satkhira,Khulna,Grade 12,Upto Grade 10,"Public school, government run",Self-pay/Sourced from Family,60 to 70,Own mobile phone,5,10,"< BDT 12,000",অনলাইনে কোর্স করি এককালীন কোর্স ফি দিয়ে ,0,এককালীন অনলাইন কোর্স,0,Content quality,Quality of teachers,Cheaper cost of access,,,,The student feels more effective/efficient in their studies.,,,,,,More Subjects,More classes for low connectivity locations (lower data usage),Lower cost,,,
Divisional City/City Corporation,No,Student ,Male,Dhaka,Dhaka,Grade 11,Up to Masters,"Public school, government run",Other,70 to 80,Shared mobile phone within the family,3,7,"< BDT 12,000","বড় ভাই আছে,বাবা ইন্তেকাল করেছেন, তাই পরিবার চালাতে ভাইয়ার পড়ালেখা বন্ধ আছে।আমাদের পরিবারের আয় প্রায় নাই বললেই চলে",0,"ক্যামেস্ট্রি ৫০০ টাকা(আমার আর্থিক সমস্যা বিবেচনা কিরে)(অফলাইন)ম্যাথ ৫০০টাকা(অফলাইন), বায়োলজি কোর্স এককালীন ১০০০টাকা,ফিজিক্স ১ম পত্র(২৫০০টাকা এককালীন)","4,500",Quality of teachers,"Convenience, no need to travel",Cheaper cost of access,Others,,,The student feels more effective/efficient in their studies.,,,,,,More Subjects,More options for student tutoring/support,Lower cost,,,
Village/Sub-district,No,Student ,Male,Satkhira,Khulna,Grade 12,Upto Grade 10,Private school,Other,80 to 100 ,Shared mobile phone within the family,3,6,"< BDT 12,000",Na,0,No,0,Quality of teachers,Travel restriction to in-person centers,Online community of learners,,,,The student feels more motivated in their studies.,,,,,,More Subjects,More classes for low connectivity locations (lower data usage),Lower cost,,,
Divisional City/City Corporation,Yes,Student ,Male,Dhaka,Dhaka,Grade 06,Upto Grade 10,Private school,Self-pay/Sourced from Family,70 to 80,Shared mobile phone within the family,5,10,"BDT 12,000 - 16,000",Vai bon nei,0,"750 , 750","1,500",Content quality,Quality of teachers,"Convenience, no need to travel",Travel restriction to in-person centers,Safety or health related reasons,,The student feels more effective/efficient in their studies.,The student has seen an increase in their grades.,The student has gained access to extracurricular scholar opportunities.,,,,More Subjects,More classes for low connectivity locations (lower data usage),Lower cost,,,
District City,No,Student ,Female,Noakhali,Chittagong,Grade 10,Upto Grade 10,"Public school, government run",Self-pay/Sourced from Family,80 to 100 ,Own mobile phone,4,10,"BDT 12,000 - 16,000",Don't know exactly ,0,আমি প্রাইভেট বা কোচিংয়ে খুব বেশি করিনি,0,Quality of teachers,,,,,,The student feels more effective/efficient in their studies.,,,,,,Lower cost,,,,,
District City,No,Student ,Female,Feni,Chittagong,Grade 09,Upto Grade 10,"Public school, government run",Self-pay/Sourced from Family,60 to 70,Shared mobile phone within the family,5,10,"< BDT 12,000",নেই,0,"2,000","2,000",Quality of teachers,Others,,,,,The student feels more motivated in their studies.,The student feels more effective/efficient in their studies.,,,,,More Subjects,More options for student tutoring/support,Strengthen on-line student community,More classes for low connectivity locations (lower data usage),Lower cost,
Village/Sub-district,Yes,Student ,Female,Jessore,Khulna,Grade 12,Up to University (Bachelor's),Private school,Self-pay/Sourced from Family,60 to 70,Own mobile phone,4,10,"BDT 24,000 - 45,000",0 tk,0,"3,000","3,000",Content quality,Quality of teachers,Travel restriction to in-person centers,Cheaper cost of access,,,The student feels more effective/efficient in their studies.,The student has seen an increase in their grades.,,,,,More Subjects,More options for student tutoring/support,Strengthen on-line student community,More classes for low connectivity locations (lower data usage),,
Divisional City/City Corporation,Yes,Student ,Male,Dhaka,Dhaka,Grade 11,Upto Grade 10,"Public school, government run",Self-pay/Sourced from Family,80 to 100 ,Own mobile phone,5,10,"BDT 12,000 - 16,000",0,0,10 min school এর কোর্স ই করছি।,0,Content quality,Quality of teachers,"Convenience, no need to travel",Cheaper cost of access,,,The student feels more motivated in their studies.,The student feels more effective/efficient in their studies.,,,,,More Subjects,More options for student tutoring/support,Lower cost,,,
Divisional City/City Corporation,No,Student ,Male,Dhaka,Dhaka,Grade 09,Upto Grade 10,"Public school, government run",Self-pay/Sourced from Family,60 to 70,Shared mobile phone within the family,4,5,"BDT 12,000 - 16,000",D,0,"2,000","2,000",Quality of teachers,,,,,,The student feels more motivated in their studies.,,,,,,More options for student tutoring/support,,,,,
Divisional City/City Corporation,No,Student ,Female,Chittagong,Chittagong,Grade 11,Up to University (Bachelor's),Private school,Self-pay/Sourced from Family,80 to 100 ,Own mobile phone,4,9,"BDT 16,000 - 24,000",20,0,14,14,Quality of teachers,,,,,,The student feels more effective/efficient in their studies.,,,,,,More Subjects,Lower cost,,,,
Divisional City/City Corporation,Yes,Student ,Male,Rajshahi,Rajshahi,Grade 09,Up to Masters,Private school,Self-pay/Sourced from Family,80 to 100 ,Shared mobile phone within the family,5,9,"> BDT 45,000",প্রযোজ্য নয়,0,"সর্বমোট ১০,০০০ প্রায়","10,000",Content quality,Quality of teachers,"Convenience, no need to travel",Travel restriction to in-person centers,Online community of learners,Cheaper cost of access,The student feels more motivated in their studies.,The student feels more effective/efficient in their studies.,The student has seen an increase in their grades.,The student has gained access to extracurricular scholar opportunities.,,,More Subjects,More options for student tutoring/support,Strengthen on-line student community,More classes for low connectivity locations (lower data usage),Lower cost,
Village/Sub-district,Yes,Student ,Male,Chittagong,Chittagong,Grade 11,Up to University (Bachelor's),"Public school, government run",Other,80 to 100 ,Own mobile phone,5,10,"< BDT 12,000","নাই, তবে আমার পেছনে কোচিং বাদে আরো অনেক খরচ হয়",0,সর্বমোট ৪০০০  এর মতো খরচ হয়,"4,000",Content quality,Quality of teachers,"Convenience, no need to travel",Online community of learners,Cheaper cost of access,Others,The student feels more motivated in their studies.,The student feels more effective/efficient in their studies.,The student has seen an increase in their grades.,,,,More Subjects,More classes for low connectivity locations (lower data usage),Lower cost,,,
District City,Yes,Student ,Male,Kurigram,Rangpur,Grade 11,Upto Grade 10,"Public school, government run",Self-pay/Sourced from Family,80 to 100 ,Shared mobile phone within the family,4,8,"> BDT 45,000",0,0,5000-6000,"5,500",Content quality,Quality of teachers,"Convenience, no need to travel",,,,The student feels more effective/efficient in their studies.,,,,,,More Subjects,,,,,
Divisional City/City Corporation,Yes,Student ,Male,Chittagong,Chittagong,Grade 12,Upto Grade 10,Private school,Self-pay/Sourced from Family,Below 60,Own mobile phone,3,10,"BDT 24,000 - 45,000","44,750",0,"44,624",0,Content quality,Quality of teachers,"Convenience, no need to travel",Travel restriction to in-person centers,Safety or health related reasons,Cheaper cost of access,The student feels more effective/efficient in their studies.,The student has gained access to extracurricular scholar opportunities.,,,,,More Subjects,More options for student tutoring/support,Strengthen on-line student community,,,
Village/Sub-district,Yes,Student ,Female,Chandpur,Chittagong,Grade 11,Up to Masters,Private school,Self-pay/Sourced from Family,80 to 100 ,Do not own or share a mobile,5,10,"< BDT 12,000",ami coto ei family te,0,"7,000","7,000",Quality of teachers,,,,,,The student feels more effective/efficient in their studies.,,,,,,Strengthen on-line student community,,,,,
District City,Yes,Student ,Female,Cumilla,Chittagong,Grade 12,Upto Grade 10,Private school,Self-pay/Sourced from Family,80 to 100 ,Shared mobile phone within the family,4,10,"BDT 12,000 - 16,000",নাই,0,৫ হাজার ,"5,000",Content quality,Quality of teachers,"Convenience, no need to travel",Travel restriction to in-person centers,,,The student feels more motivated in their studies.,The student feels more effective/efficient in their studies.,The student has seen an increase in their grades.,,,,More Subjects,Strengthen on-line student community,More classes for low connectivity locations (lower data usage),,,
Village/Sub-district,No,Student ,Male,Thakurgaon,Rangpur,Grade 12,Upto Grade 10,"Public school, government run",Self-pay/Sourced from Family,60 to 70,Own mobile phone,5,10,"< BDT 12,000",Nai,0,"4,000","4,000",Quality of teachers,,,,,,The student feels more motivated in their studies.,,,,,,More classes for low connectivity locations (lower data usage),,,,,
District City,Yes,Student ,Female,Sirajganj,Rajshahi,Grade 11,Up to Grade 12,"Public school, government run",Self-pay/Sourced from Family,60 to 70,Shared mobile phone within the family,4,10,"< BDT 12,000",College  beton nai,0,"4,000","4,000",Quality of teachers,"Convenience, no need to travel",Travel restriction to in-person centers,Cheaper cost of access,,,The student feels more motivated in their studies.,,,,,,More Subjects,More options for student tutoring/support,Lower cost,,,
Divisional City/City Corporation,Yes,Student ,Female,Barisal,Barisal,Grade 11,Upto Grade 10,"Public school, government run",Self-pay/Sourced from Family,80 to 100 ,Own mobile phone,5,10,"BDT 24,000 - 45,000",বড় বোনদের মাস্টার্স কমপ্লিট।তাই এখন কোন খরচ নেই তাদের পেছনে।,0,কচিং টিউশন করি না।অনলাইনেই ক্লাস করি।আর কলেজে যাই এই। হোস্টেলে থাকি যার কারনে খাবার ফি লাগে।তো সব মিলিয়ে 4000/5000হাজার টাকার মতো খরচ হয়।,0,Content quality,Quality of teachers,"Convenience, no need to travel",Travel restriction to in-person centers,Safety or health related reasons,Cheaper cost of access,The student feels more motivated in their studies.,The student feels more effective/efficient in their studies.,,,,,More Subjects,More options for student tutoring/support,,,,
Village/Sub-district,No,Student ,Male,Jessore,Khulna,Grade 11,Upto Grade 10,"Public school, government run",Self-pay/Sourced from Family,80 to 100 ,Own mobile phone,4,8,"BDT 12,000 - 16,000","বৃত্তি প্রাপ্ত,তাই দেওয়া লাগে না",0,এইগুলোর কিছু করি না,0,Content quality,Quality of teachers,Cheaper cost of access,,,,The student feels more effective/efficient in their studies.,,,,,,More Subjects,More options for student tutoring/support,Strengthen on-line student community,More classes for low connectivity locations (lower data usage),Lower cost,
Divisional City/City Corporation,Yes,Student ,Male,Rangpur,Rangpur,Grade 12,PhD,"Public school, government run",Self-pay/Sourced from Family,80 to 100 ,Own mobile phone,2,5,"BDT 12,000 - 16,000",GovtCollege ,0,2k,"2,000","Convenience, no need to travel",,,,,,The student feels more effective/efficient in their studies.,,,,,,More options for student tutoring/support,Lower cost,,,,
Divisional City/City Corporation,Yes,Student ,Female,Faridpur,Dhaka,Grade 11,Upto Grade 10,Private school,Self-pay/Sourced from Family,80 to 100 ,Shared mobile phone within the family,3,5,"BDT 16,000 - 24,000",0,0,"6,600","6,600",Content quality,,,,,,The student feels more motivated in their studies.,,,,,,More options for student tutoring/support,Lower cost,,,,
Village/Sub-district,Yes,Student ,Male,Nilfamari,Rangpur,Grade 11,Upto Grade 10,"Public school, government run",Other,80 to 100 ,Own mobile phone,3,10,"< BDT 12,000",নাই,0,"2,000","2,000",Quality of teachers,,,,,,The student feels more motivated in their studies.,,,,,,Lower cost,,,,,
Divisional City/City Corporation,Yes,Student ,Female,Rangpur,Rangpur,Grade 11,Up to Grade 12,"Public school, government run",Self-pay/Sourced from Family,80 to 100 ,Shared mobile phone within the family,4,7,"BDT 24,000 - 45,000",Baton dite hoy na,0,Total 3500,"3,500",Content quality,Quality of teachers,"Convenience, no need to travel",Travel restriction to in-person centers,Safety or health related reasons,Online community of learners,The student feels more motivated in their studies.,The student feels more effective/efficient in their studies.,The student has seen an increase in their grades.,,,,More Subjects,More options for student tutoring/support,Strengthen on-line student community,More classes for low connectivity locations (lower data usage),Lower cost,
District City,No,Student ,Female,Dhaka,Dhaka,Grade 09,Up to Grade 12,"Public school, government run",Self-pay/Sourced from Family,60 to 70,Shared mobile phone within the family,5,10,"< BDT 12,000","আমার ভাই ছোট,আমি একমাত্র স্কুলে পড়ি।",0,"3,000","3,000",Content quality,Quality of teachers,Online community of learners,,,,The student feels more motivated in their studies.,The student feels more effective/efficient in their studies.,The student has gained access to extracurricular scholar opportunities.,,,,More Subjects,Strengthen on-line student community,More classes for low connectivity locations (lower data usage),,,
Village/Sub-district,No,Student ,Male,Dhaka,Dhaka,Grade 12,Up to Masters,Private school,Self-pay/Sourced from Family,60 to 70,Own mobile phone,4,8,"BDT 12,000 - 16,000",নেই ভাইবোন,0,১০০০টাকা ,"1,000",Content quality,Quality of teachers,"Convenience, no need to travel",Travel restriction to in-person centers,Safety or health related reasons,Online community of learners,The student feels more motivated in their studies.,The student feels more effective/efficient in their studies.,,,,,More options for student tutoring/support,More classes for low connectivity locations (lower data usage),,,,
Divisional City/City Corporation,No,Student ,Female,Dhaka,Dhaka,Grade 11,Up to Grade 12,"Public school, government run",Self-pay/Sourced from Family,80 to 100 ,Own mobile phone,3,0,"BDT 24,000 - 45,000",0,0,0,0,Others,,,,,,The student feels more effective/efficient in their studies.,,,,,,Lower cost,,,,,
District City,No,Student ,Male,Jhenaidah,Khulna,Grade 11,Upto Grade 10,"Public school, government run",Self-pay/Sourced from Family,60 to 70,Own mobile phone,3,10,"< BDT 12,000",নেই ,0,"5,000","5,000",Cheaper cost of access,,,,,,The student feels more motivated in their studies.,,,,,,More options for student tutoring/support,,,,,
Divisional City/City Corporation,Yes,Student ,Male,Rangpur,Rangpur,Grade 11,Up to University (Bachelor's),"Public school, government run",Self-pay/Sourced from Family,80 to 100 ,Own mobile phone,5,10,"< BDT 12,000",প্রযোজ্য নহে,0,৭৫০০-৮০০০ টাকা,"7,750",Content quality,Quality of teachers,"Convenience, no need to travel",Online community of learners,Cheaper cost of access,,The student feels more motivated in their studies.,The student feels more effective/efficient in their studies.,,,,,More Subjects,More options for student tutoring/support,Strengthen on-line student community,More classes for low connectivity locations (lower data usage),,
Village/Sub-district,No,Student ,Female,Chuadanga,Khulna,Grade 08,Upto Grade 10,"Public school, government run",Self-pay/Sourced from Family,80 to 100 ,Own mobile phone,3,9,"< BDT 12,000",বোন বিশ্ববিদ্যালয়ের ছাত্রী,0,কোচিং করি না,0,Content quality,Quality of teachers,Online community of learners,,,,The student feels more effective/efficient in their studies.,,,,,,More Subjects,Strengthen on-line student community,,,,
